begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2024-07-11 00:00:00+00:00,231.390000,227.57,232.390000,225.770000,64710617,reg,False,AAPL
2024-07-12 00:00:00+00:00,228.920000,230.54,232.640000,228.680000,53046527,reg,False,AAPL
2024-07-15 00:00:00+00:00,236.480000,234.41,237.230000,233.090000,62631252,reg,False,AAPL
2024-07-16 00:00:00+00:00,235.000000,234.82,236.270000,232.330000,43234278,reg,False,AAPL
2024-07-17 00:00:00+00:00,229.450000,228.88,231.459900,226.640000,57345884,reg,False,AAPL
