begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2019-07-18 00:00:00+00:00,51.000000,51.415,51.470000,50.925000,74328644,reg,False,AAPL
2019-07-19 00:00:00+00:00,51.447500,50.6475,51.625000,50.590000,83717228,reg,False,AAPL
2019-07-22 00:00:00+00:00,50.912500,51.805,51.807500,50.902500,89111728,reg,False,AAPL
2019-07-23 00:00:00+00:00,52.115000,52.21,52.227500,51.822500,73420840,reg,False,AAPL
2019-07-24 00:00:00+00:00,51.917500,52.1675,52.287500,51.792500,59966268,reg,False,AAPL
2019-07-25 00:00:00+00:00,52.222500,51.755,52.310000,51.682500,55638248,reg,False,AAPL
2019-07-26 00:00:00+00:00,51.870000,51.935,52.432500,51.785000,70475496,reg,False,AAPL
2019-07-29 00:00:00+00:00,52.115000,52.42,52.660000,52.110000,86693556,reg,False,AAPL
2019-07-30 00:00:00+00:00,52.190000,52.195,52.540000,51.827500,135742872,reg,False,AAPL
2019-07-31 00:00:00+00:00,54.105000,53.26,55.342500,52.825000,277125444,reg,False,AAPL
2019-08-01 00:00:00+00:00,53.475000,52.1075,54.507500,51.685875,216071688,reg,False,AAPL
2019-08-02 00:00:00+00:00,51.382500,51.005,51.607500,50.407500,163448488,reg,False,AAPL
2019-08-05 00:00:00+00:00,49.497500,48.335,49.662250,48.145000,209571876,reg,False,AAPL
2019-08-06 00:00:00+00:00,49.077500,49.25,49.516750,48.510000,143299148,reg,False,AAPL
2019-08-07 00:00:00+00:00,48.852500,49.76,49.890000,48.455000,133457600,reg,False,AAPL
2019-08-08 00:00:00+00:00,50.050000,50.8575,50.882500,49.847500,108038092,reg,False,AAPL
2019-08-09 00:00:00+00:00,50.325000,50.2475,50.690000,49.822500,98478984,reg,False,AAPL
2019-08-12 00:00:00+00:00,49.905000,50.12,50.512900,49.787500,89927556,reg,False,AAPL
2019-08-13 00:00:00+00:00,50.255000,52.2425,53.035000,50.120000,190159144,reg,False,AAPL
2019-08-14 00:00:00+00:00,50.790000,50.6875,51.610000,50.646725,146189772,reg,False,AAPL
2019-08-15 00:00:00+00:00,50.865000,50.435,51.285000,49.917500,111533452,reg,False,AAPL
2019-08-16 00:00:00+00:00,51.070000,51.625,51.790000,50.960000,115254496,reg,False,AAPL
2019-08-19 00:00:00+00:00,52.655000,52.5875,53.182675,52.506250,97727660,reg,False,AAPL
2019-08-20 00:00:00+00:00,52.720000,52.59,53.337500,52.580000,107678116,reg,False,AAPL
2019-08-21 00:00:00+00:00,53.247500,53.16,53.412500,52.900800,86258988,reg,False,AAPL
2019-08-22 00:00:00+00:00,53.297500,53.115,53.608750,52.687500,89071276,reg,False,AAPL
2019-08-23 00:00:00+00:00,52.357500,50.66,53.012750,50.250000,187531372,reg,False,AAPL
2019-08-26 00:00:00+00:00,51.465000,51.6225,51.797500,51.264325,104264520,reg,False,AAPL
2019-08-27 00:00:00+00:00,51.965000,51.04,52.137500,50.882500,103589376,reg,False,AAPL
2019-08-28 00:00:00+00:00,51.025000,51.3825,51.430000,50.830000,63830528,reg,False,AAPL
2019-08-29 00:00:00+00:00,52.125000,52.2525,52.330000,51.663750,84030608,reg,False,AAPL
2019-08-30 00:00:00+00:00,52.540000,52.185,52.612500,51.800000,84650244,reg,False,AAPL
2019-09-03 00:00:00+00:00,51.607500,51.425,51.745000,51.055000,80238296,reg,False,AAPL
2019-09-04 00:00:00+00:00,52.097500,52.2975,52.370000,51.830000,76867280,reg,False,AAPL
2019-09-05 00:00:00+00:00,53.000000,53.32,53.492500,52.877500,95787936,reg,False,AAPL
2019-09-06 00:00:00+00:00,53.512500,53.315,53.605000,53.127500,77449176,reg,False,AAPL
2019-09-09 00:00:00+00:00,53.710000,53.5425,54.110000,52.767500,109237604,reg,False,AAPL
2019-09-10 00:00:00+00:00,53.465000,54.175,54.195000,52.927500,127111724,reg,False,AAPL
2019-09-11 00:00:00+00:00,54.517500,55.8975,55.927500,54.432500,177158584,reg,False,AAPL
2019-09-12 00:00:00+00:00,56.200000,55.77125,56.605000,55.715000,128906676,reg,False,AAPL
2019-09-13 00:00:00+00:00,55.000000,54.6875,55.197500,54.255000,159053184,reg,False,AAPL
2019-09-16 00:00:00+00:00,54.432500,54.975,55.032500,54.390000,84632564,reg,False,AAPL
2019-09-17 00:00:00+00:00,54.990000,55.175,55.205000,54.780000,73545872,reg,False,AAPL
2019-09-18 00:00:00+00:00,55.265000,55.6925,55.712500,54.860000,102572372,reg,False,AAPL
2019-09-19 00:00:00+00:00,55.502500,55.24,55.940000,55.092500,88751504,reg,False,AAPL
2019-09-20 00:00:00+00:00,55.345000,54.4325,55.640000,54.368250,231908376,reg,False,AAPL
2019-09-23 00:00:00+00:00,54.737500,54.68,54.960000,54.412500,77678592,reg,False,AAPL
2019-09-24 00:00:00+00:00,55.257500,54.42,55.622500,54.297500,125737468,reg,False,AAPL
2019-09-25 00:00:00+00:00,54.637500,55.2575,55.375000,54.285050,89924024,reg,False,AAPL
2019-09-26 00:00:00+00:00,55.000000,54.9725,55.235000,54.707500,76353248,reg,False,AAPL
2019-09-27 00:00:00+00:00,55.135000,54.705,55.240000,54.320350,101445140,reg,False,AAPL
2019-09-30 00:00:00+00:00,55.225000,55.9925,56.145000,55.197500,105274332,reg,False,AAPL
2019-10-01 00:00:00+00:00,56.267500,56.1475,57.055000,56.050000,144748652,reg,False,AAPL
2019-10-02 00:00:00+00:00,55.765000,54.74,55.895000,54.482500,143069028,reg,False,AAPL
2019-10-03 00:00:00+00:00,54.607500,55.205,55.240000,53.783000,121410744,reg,False,AAPL
2019-10-04 00:00:00+00:00,56.410000,56.7525,56.872500,55.972500,139022212,reg,False,AAPL
2019-10-07 00:00:00+00:00,56.567500,56.765,57.482500,56.460000,123557076,reg,False,AAPL
2019-10-08 00:00:00+00:00,56.455000,56.1,57.015000,56.082500,117130800,reg,False,AAPL
2019-10-09 00:00:00+00:00,56.757500,56.7575,56.947500,56.410000,76117696,reg,False,AAPL
2019-10-10 00:00:00+00:00,56.982500,57.5225,57.610000,56.825000,115851936,reg,False,AAPL
2019-10-11 00:00:00+00:00,58.237500,59.0525,59.410000,58.076875,167960840,reg,False,AAPL
2019-10-14 00:00:00+00:00,58.725000,58.9675,59.533550,58.667525,97653936,reg,False,AAPL
2019-10-15 00:00:00+00:00,59.097500,58.83,59.412500,58.720000,92161932,reg,False,AAPL
2019-10-16 00:00:00+00:00,58.342500,58.5925,58.810000,58.300000,77146776,reg,False,AAPL
2019-10-17 00:00:00+00:00,58.772500,58.82,59.037500,58.380000,69091588,reg,False,AAPL
2019-10-18 00:00:00+00:00,58.647500,59.1025,59.395000,58.572500,97508664,reg,False,AAPL
2019-10-21 00:00:00+00:00,59.380000,60.1275,60.247500,59.330000,89469932,reg,False,AAPL
2019-10-22 00:00:00+00:00,60.290000,59.99,60.550000,59.905450,90736004,reg,False,AAPL
2019-10-23 00:00:00+00:00,60.525000,60.795,60.810000,60.305000,79730180,reg,False,AAPL
2019-10-24 00:00:00+00:00,61.127500,60.895,61.200000,60.451250,71665020,reg,False,AAPL
2019-10-25 00:00:00+00:00,60.790000,61.645,61.682500,60.720000,73477184,reg,False,AAPL
2019-10-28 00:00:00+00:00,61.855000,62.2625,62.312500,61.680000,96572964,reg,False,AAPL
2019-10-29 00:00:00+00:00,62.242500,60.8225,62.437500,60.642500,142839468,reg,False,AAPL
2019-10-30 00:00:00+00:00,61.190000,60.815,61.325000,60.302500,124522088,reg,False,AAPL
2019-10-31 00:00:00+00:00,61.810000,62.19,62.292500,59.315000,139162080,reg,False,AAPL
2019-11-01 00:00:00+00:00,62.385000,63.955,63.982500,62.290000,151125336,reg,False,AAPL
2019-11-04 00:00:00+00:00,64.332500,64.375,64.461250,63.845000,103271808,reg,False,AAPL
2019-11-05 00:00:00+00:00,64.262500,64.2825,64.547500,64.080000,79897708,reg,False,AAPL
2019-11-06 00:00:00+00:00,64.192500,64.31,64.372500,63.841250,75864496,reg,False,AAPL
2019-11-07 00:00:00+00:00,64.685000,64.8575,65.087500,64.527500,94940332,reg,False,AAPL
2019-11-08 00:00:00+00:00,64.672500,65.035,65.110000,64.212500,70081980,reg,False,AAPL
2019-11-11 00:00:00+00:00,64.575000,65.55,65.617500,64.570000,82029836,reg,False,AAPL
2019-11-12 00:00:00+00:00,65.387500,65.49,65.697500,65.230000,87388904,reg,False,AAPL
2019-11-13 00:00:00+00:00,65.282500,66.1175,66.195000,65.267500,103270372,reg,False,AAPL
2019-11-14 00:00:00+00:00,65.937500,65.66,66.220000,65.525000,89582224,reg,False,AAPL
2019-11-15 00:00:00+00:00,65.920000,66.44,66.445000,65.752500,100374664,reg,False,AAPL
2019-11-18 00:00:00+00:00,66.450000,66.775,66.857500,66.057500,86803588,reg,False,AAPL
2019-11-19 00:00:00+00:00,66.975000,66.5725,67.000000,66.348150,76278388,reg,False,AAPL
2019-11-20 00:00:00+00:00,66.385000,65.7975,66.520750,65.100000,106439676,reg,False,AAPL
2019-11-21 00:00:00+00:00,65.922500,65.5025,66.001250,65.295000,121395112,reg,False,AAPL
2019-11-22 00:00:00+00:00,65.647500,65.445,65.795000,65.210000,65325052,reg,False,AAPL
2019-11-25 00:00:00+00:00,65.677500,66.5925,66.610000,65.630000,84118068,reg,False,AAPL
2019-11-26 00:00:00+00:00,66.735000,66.0725,66.790000,65.625000,105339528,reg,False,AAPL
2019-11-27 00:00:00+00:00,66.395000,66.96,66.995000,66.327500,65544488,reg,False,AAPL
2019-11-29 00:00:00+00:00,66.650000,66.8125,67.000000,66.475000,46617452,reg,False,AAPL
2019-12-02 00:00:00+00:00,66.817500,66.04,67.062500,65.862500,94774200,reg,False,AAPL
2019-12-03 00:00:00+00:00,64.577500,64.8625,64.882500,64.072500,117509072,reg,False,AAPL
2019-12-04 00:00:00+00:00,65.267500,65.435,65.827500,65.170000,67241552,reg,False,AAPL
2019-12-05 00:00:00+00:00,65.947500,66.395,66.472500,65.682500,74645372,reg,False,AAPL
2019-12-06 00:00:00+00:00,66.870000,67.6775,67.750000,66.825000,106189972,reg,False,AAPL
2019-12-09 00:00:00+00:00,67.500000,66.73,67.700000,66.227500,128730580,reg,False,AAPL
